customer_id,customer_name,region,country,customer_type,signup_date,preferred_channel,email_opt_in,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_score,RFM_total,clv_historical,clv_predicted,tenure_years,purchase_freq_per_year,avg_order_value,favorite_category,last_product_purchased,top_purchase_channel,total_units,last_purchase_date,first_purchase_date,total_sessions,avg_pages_per_session,avg_time_on_site,cart_adds,days_since_last_session,total_tickets,avg_csat,avg_resolution_hours,escalation_rate,total_touches,open_rate,conversion_rate,churned,segment,segment_name,churn_probability,predicted_churn,recommended_product,recommendation_score
C100000,James Williams,Europe,France,Individual,2022-01-08,Online,0,183.0,14.0,2880.0,4,1,1,411.0,6.0,2880.0,1172.53,4.596851471594798,3.0455628350208457,137.14285714285714,Home & Kitchen,Wireless Earbuds Pro,Online,25.0,2026-02-12,2023-06-18,16.0,7.375,7.01875,11.0,326.0,1.0,2.0,14.1,0.0,4.0,0.75,0.5,1,3,Champions,0.9574,1,Board Game Set,0.8003
C100001,Lucas Martin,Latin America,Chile,Small Business,2022-02-21,Online,1,64.0,9.0,1537.86,2,1,2,212.0,5.0,1537.86,734.34,4.476386036960986,2.010550458715596,128.155,Electronics,Denim Jeans,Online,14.0,2026-06-11,2023-01-08,19.0,8.263157894736842,7.636842105263158,1.0,41.0,1.0,3.0,28.9,0.0,8.0,1.0,0.25,0,3,Champions,0.0003,0,Board Game Set,0.7668
C100002,Linda Thompson,APAC,Singapore,Individual,2023-11-21,Marketplace,1,158.0,4.0,1708.17,4,3,2,432.0,9.0,1708.17,1136.04,2.729637234770705,1.4653961885656972,284.695,Furniture,Bluetooth Speaker,Online,8.0,2026-03-09,2024-10-08,15.0,7.133333333333334,7.2,2.0,7.0,2.0,2.5,12.05,0.5,5.0,0.6,0.0,0,2,Regular Customers,0.3067,0,Board Game Set,0.7691
C100003,Thomas Thompson,Europe,Netherlands,Small Business,2022-01-03,Online,0,536.0,3.0,1364.95,5,3,2,532.0,10.0,1364.95,541.13,4.610540725530458,0.6506828978622329,341.2375,Furniture,Cookware Set,Online,5.0,2025-02-24,2024-01-16,26.0,7.846153846153846,8.65,3.0,138.0,0.0,2.3524457602403785,0.0,0.0,3.0,0.0,0.0,1,2,Regular Customers,0.9295,1,Air Fryer,0.6667
C100004,James Lee,North America,Mexico,Enterprise,2022-07-13,Online,1,21.0,1.0,249.98,1,5,5,155.0,11.0,249.98,87.15,4.087611225188227,0.2446416610850636,124.99,Home & Kitchen,Air Fryer,Marketplace,2.0,2026-07-24,2026-07-24,2.0,4.0,6.8,0.0,257.0,1.0,3.0,17.6,0.0,1.0,0.0,0.0,0,1,New / Occasional,0.0182,0,Espresso Machine,0.9249
C100005,Susan Jones,North America,USA,Individual,2025-07-28,B2B Direct,1,9.0,2.0,234.98,1,4,5,145.0,10.0,234.98,640.33,1.0458590006844628,1.9123036649214653,117.49,Electronics,Smart Watch,Online,2.0,2026-08-05,2026-07-25,9.0,7.111111111111111,6.388888888888889,1.0,10.0,2.0,1.0,20.7,0.5,2.0,1.0,0.5,0,1,New / Occasional,0.0011,0,Kids Building Blocks,0.8813
C100006,Richard Rodriguez,North America,Mexico,Individual,2021-04-18,Online,0,33.0,10.0,3098.82,2,1,1,211.0,4.0,3098.82,1037.09,5.322381930184805,1.878858024691358,193.67625,Sports & Outdoors,Office Chair,Online,18.0,2026-07-12,2024-08-27,14.0,4.928571428571429,5.771428571428571,1.0,121.0,0.0,2.3524457602403785,0.0,0.0,4.0,0.5,0.0,0,3,Champions,0.0034,0,Denim Jeans,0.6806
C100007,Diego Perez,Middle East,Kuwait,Individual,2022-08-07,Online,0,4.0,6.0,2069.37,1,2,1,121.0,4.0,2069.37,677.26,4.0191649555099245,1.4928474114441417,159.1823076923077,Furniture,4K Smart TV 55in,Online,13.0,2026-08-10,2023-06-30,11.0,6.727272727272728,7.245454545454546,4.0,119.0,0.0,2.3524457602403785,0.0,0.0,8.0,0.75,0.375,0,3,Champions,0.0006,0,Espresso Machine,0.7118
C100008,Richard Jackson,APAC,Singapore,Individual,2023-04-19,B2B Direct,0,8.0,7.0,3314.34,1,1,1,111.0,3.0,3314.34,1531.53,3.3210130047912387,2.107790601813685,254.9492307692308,Home & Kitchen,Mountain Bike,In-Store,16.0,2026-08-06,2025-07-18,5.0,5.0,6.58,1.0,371.0,5.0,1.4,14.88,0.2,3.0,0.3333333333333333,0.0,0,3,Champions,0.0297,0,Wireless Earbuds Pro,0.6705
C100009,Robert Jones,APAC,South Korea,Small Business,2022-02-22,In-Store,1,320.0,4.0,731.45,5,3,3,533.0,11.0,731.45,347.13,4.473648186173854,0.8941248470012239,146.29000000000002,Sports & Outdoors,Air Fryer,Online,5.0,2025-09-28,2025-03-25,26.0,8.192307692307692,7.938461538461539,1.0,30.0,1.0,2.0,6.2,0.0,4.0,0.5,0.0,1,2,Regular Customers,0.9722,1,Kids Building Blocks,0.8036
C100010,Wei Brown,North America,Mexico,Individual,2025-07-02,Online,0,115.0,1.0,170.99,3,5,5,355.0,13.0,170.99,386.88,1.1170431211498972,0.8952205882352942,170.99,Furniture,Office Chair,Online,1.0,2026-04-21,2026-04-21,2.0,8.0,7.6,0.0,215.0,1.0,3.0,4.8,0.0,1.0,1.0,0.0,0,1,New / Occasional,0.0041,0,Standing Desk,0.9573
C100011,Sofia Lee,Latin America,Chile,Individual,2023-04-01,Marketplace,0,20.0,5.0,1129.92,1,2,3,123.0,6.0,1129.92,597.18,3.370294318959617,1.4835499593826158,141.24,Electronics,Air Fryer,In-Store,8.0,2026-07-25,2025-10-14,20.0,7.2,7.359999999999999,3.0,42.0,2.0,1.0,19.450000000000003,0.0,3.0,0.3333333333333333,0.0,0,2,Regular Customers,0.0013,0,Espresso Machine,0.8206
C100012,Susan Moore,Middle East,Qatar,Individual,2024-11-22,Online,1,65.0,2.0,99.98,2,4,5,245.0,11.0,99.98,163.62,1.7248459958932238,1.1595238095238094,49.99,Apparel,Board Game Set,In-Store,2.0,2026-06-10,2026-05-25,11.0,6.2727272727272725,7.5,0.0,140.0,1.0,2.0,29.0,0.0,4.0,0.5,0.0,0,1,New / Occasional,0.0131,0,Kids Building Blocks,0.8712
C100013,Lucas Jones,North America,Mexico,Individual,2024-07-19,Online,1,52.0,3.0,329.97,2,3,4,234.0,9.0,329.97,454.35,2.0698151950718686,1.449404761904762,109.99,Home & Kitchen,Bluetooth Speaker,B2B Direct,3.0,2026-06-23,2025-10-20,16.0,7.4375,8.05,2.0,71.0,0.0,2.3524457602403785,0.0,0.0,5.0,0.6,0.2,0,2,Regular Customers,0.0017,0,Espresso Machine,0.7915
C100014,Wei Gonzalez,North America,Canada,Small Business,2022-11-14,Marketplace,1,22.0,2.0,779.94,1,4,3,143.0,8.0,779.94,197.68,3.748117727583847,0.5336011687363039,129.99,Apparel,Laptop Backpack,In-Store,6.0,2026-07-23,2024-08-12,10.0,7.3,6.82,3.0,163.0,0.0,2.3524457602403785,0.0,0.0,3.0,0.0,0.0,0,1,New / Occasional,0.0041,0,Cookware Set,0.7382
C100015,Layla Sanchez,North America,USA,Individual,2024-02-14,B2B Direct,1,469.0,1.0,109.98,5,5,5,555.0,15.0,109.98,46.33,2.4969199178644765,0.4004934210526316,54.99,Apparel,Yoga Mat,Online,2.0,2025-05-02,2025-05-02,7.0,8.428571428571429,7.414285714285714,0.0,29.0,2.0,3.0,7.75,0.0,5.0,0.6,0.0,1,1,New / Occasional,0.9595,1,Denim Jeans,0.8509
C100016,Barbara Thomas,North America,Mexico,Enterprise,2026-02-08,In-Store,0,187.0,0.0,0.0,1,1,1,,3.0,0.0,0.0,0.5119780971937029,0.0,0.0,,,In-Store,0.0,,,12.0,9.583333333333334,7.583333333333333,3.0,8.0,0.0,2.3524457602403785,0.0,0.0,7.0,0.4285714285714285,0.1428571428571428,1,0,Lost / Dormant,0.9929,1,Yoga Mat,0.0045
C100017,Carlos Hernandez,Europe,Italy,Individual,2025-05-29,In-Store,1,21.0,2.0,254.97,1,4,5,145.0,10.0,254.97,400.32,1.2101300479123889,1.6527149321266967,84.99,Apparel,Winter Jacket,Online,3.0,2026-07-24,2026-06-01,22.0,8.818181818181818,8.668181818181818,3.0,3.0,2.0,3.0,18.200000000000003,0.0,3.0,0.0,0.3333333333333333,0,2,Regular Customers,1e-04,0,Running Shoes,0.8383
C100018,John Williams,Europe,Italy,Individual,2021-09-13,Online,1,120.0,8.0,866.9,3,1,3,313.0,7.0,866.9,401.96,4.917180013689254,1.6269487750556793,86.69,Electronics,Wireless Earbuds Pro,Online,10.0,2026-04-16,2023-01-17,13.0,5.6923076923076925,6.9,3.0,297.0,2.0,3.5,10.2,0.5,5.0,0.6,0.0,0,4,Loyal High-Value,0.0076,0,Kids Building Blocks,0.8326
C100019,David Brown,North America,USA,Individual,2024-01-10,In-Store,0,31.0,9.0,2108.85,2,1,1,211.0,4.0,2108.85,1738.57,2.5927446954141,3.4712249208025345,175.73749999999998,Furniture,Bluetooth Speaker,Online,15.0,2026-07-14,2025-02-07,8.0,6.625,8.975,0.0,133.0,0.0,2.3524457602403785,0.0,0.0,4.0,0.5,0.0,0,3,Champions,0.001,0,Running Shoes,0.6445
C100020,Mary Rodriguez,APAC,Singapore,Individual,2023-02-19,Online,1,111.0,5.0,927.9,3,2,3,323.0,8.0,927.9,421.36,3.482546201232033,1.4357311320754718,103.1,Electronics,Winter Jacket,Online,10.0,2026-04-25,2024-05-09,9.0,5.666666666666667,6.766666666666668,2.0,190.0,0.0,2.3524457602403785,0.0,0.0,2.0,0.5,0.5,0,1,New / Occasional,0.045,0,Skincare Set,0.7803
C100021,Elena Robinson,North America,USA,Enterprise,2024-02-26,In-Store,1,152.0,3.0,749.95,4,3,3,433.0,10.0,749.95,494.11,2.464065708418892,1.2175,149.99,Sports & Outdoors,Skincare Set,Online,5.0,2026-03-15,2026-01-16,22.0,7.409090909090909,8.39090909090909,4.0,46.0,3.0,1.3333333333333333,15.166666666666666,0.6666666666666666,4.0,0.75,0.0,0,2,Regular Customers,0.7564,1,Perfume,0.7656
C100022,Amara Lopez,North America,Canada,Individual,2023-04-18,In-Store,1,78.0,2.0,190.47,3,4,5,345.0,12.0,190.47,108.88,3.323750855578371,0.6017298187808896,63.48999999999999,Electronics,Wireless Earbuds Pro,Online,3.0,2026-05-28,2025-10-29,5.0,5.8,7.7,2.0,367.0,1.0,1.0,10.8,0.0,2.0,1.0,0.0,0,1,New / Occasional,0.0278,0,Skincare Set,0.8657
C100023,Amara Gonzalez,Europe,Germany,Small Business,2023-07-04,In-Store,0,10.0,5.0,899.9300000000001,1,2,3,123.0,6.0,899.93,588.51,3.1129363449692,1.6062005277044853,128.5614285714286,Home & Kitchen,Espresso Machine,Online,7.0,2026-08-04,2025-04-05,18.0,8.61111111111111,7.927777777777777,3.0,69.0,0.0,2.3524457602403785,0.0,0.0,6.0,1.0,0.0,0,3,Champions,0.0019,0,Cookware Set,0.8074
C100024,Liam Lee,Europe,UK,Individual,2021-08-23,Online,0,162.0,11.0,2885.06,4,1,1,411.0,6.0,2885.06,1007.29,4.974674880219028,2.211199779856907,160.2811111111111,Sports & Outdoors,Office Chair,Online,19.0,2026-03-05,2023-09-13,16.0,7.125,7.08125,2.0,29.0,1.0,3.0,12.5,0.0,2.0,0.0,0.0,0,3,Champions,0.0889,0,Standing Desk,0.8307
C100025,Diego Lee,APAC,South Korea,Individual,2022-07-07,Online,0,56.0,5.0,1123.66,2,2,3,223.0,7.0,1123.66,433.51,4.10403832991102,1.2183122081387592,124.85111111111112,Home & Kitchen,Winter Jacket,Marketplace,9.0,2026-06-19,2025-05-18,7.0,7.142857142857143,8.757142857142856,1.0,35.0,4.0,1.25,16.0,0.25,1.0,1.0,0.0,0,1,New / Occasional,0.0092,0,Espresso Machine,0.7522
C100026,Wei Clark,North America,USA,Individual,2021-06-30,Online,1,65.0,6.0,926.89,2,2,3,223.0,7.0,926.89,343.79,5.122518822724161,1.17129877071085,102.98777777777778,Furniture,Skincare Set,In-Store,11.0,2026-06-10,2023-04-07,18.0,7.388888888888889,8.544444444444444,3.0,50.0,1.0,2.0,11.6,0.0,7.0,0.7142857142857143,0.1428571428571428,0,2,Regular Customers,0.0047,0,Office Chair,0.8007
C100027,Ananya Jones,Europe,Germany,Individual,2021-06-06,Online,1,582.0,3.0,211.97,5,3,5,535.0,13.0,211.97,100.33,5.188227241615332,0.5782321899736148,70.65666666666667,Home & Kitchen,Air Fryer,Online,3.0,2025-01-09,2024-05-29,1.0,6.0,6.9,0.0,880.0,2.0,2.5,11.3,0.0,0.0,0.0,0.0,1,1,New / Occasional,0.9341,1,Bluetooth Speaker,0.7899
C100028,Barbara Taylor,Europe,France,Individual,2025-01-17,Online,1,48.0,7.0,1760.59,2,1,2,212.0,5.0,1760.59,1596.44,1.571526351813826,4.454268292682927,125.7564285714286,Sports & Outdoors,Protein Powder,Online,16.0,2026-06-27,2025-05-18,17.0,8.588235294117647,8.270588235294117,1.0,39.0,6.0,1.5,20.866666666666667,0.0,8.0,0.5,0.25,0,3,Champions,0.001,0,Board Game Set,0.7829
C100029,Michael Lee,North America,Canada,Individual,2022-07-25,B2B Direct,0,72.0,5.0,1029.92,3,2,3,323.0,8.0,1029.92,603.26,4.054757015742642,1.2331195138419986,171.65333333333334,Home & Kitchen,Air Fryer,Marketplace,8.0,2026-06-03,2025-09-27,16.0,7.25,7.462499999999999,1.0,9.0,5.0,1.0,24.94,0.0,1.0,0.0,0.0,0,2,Regular Customers,0.0195,0,Espresso Machine,0.8973
C100030,Yuki Smith,APAC,Japan,Small Business,2023-05-07,In-Store,1,1195.0,0.0,0.0,1,1,1,,3.0,0.0,0.0,3.271731690622861,0.0,0.0,,,In-Store,0.0,,,16.0,9.0,7.20625,1.0,84.0,1.0,1.0,32.4,0.0,6.0,0.5,0.0,1,0,Lost / Dormant,0.9978,1,Yoga Mat,0.0045
C100031,Linda Thomas,North America,USA,Individual,2025-11-20,B2B Direct,1,103.0,1.0,269.97,3,5,5,355.0,13.0,269.97,877.4,0.731006160164271,1.3679775280898878,269.97,Electronics,Wireless Earbuds Pro,Online,3.0,2026-05-03,2026-05-03,15.0,8.333333333333334,8.12,1.0,14.0,1.0,2.0,25.1,0.0,10.0,0.8,0.1,0,2,Regular Customers,0.0024,0,4K Smart TV 55in,0.9821
C100032,Layla Perez,North America,Mexico,Individual,2025-09-24,In-Store,1,324.0,0.0,0.0,1,1,1,,3.0,0.0,0.0,0.8870636550308009,0.0,0.0,,,In-Store,0.0,,,14.0,7.428571428571429,8.871428571428572,2.0,16.0,0.0,2.3524457602403785,0.0,0.0,4.0,0.5,0.0,1,0,Lost / Dormant,0.9928,1,Yoga Mat,0.0045
