customer_id,first_name,last_name,region,country,customer_type,signup_date,preferred_channel,email_opt_in
C100000,James,Williams,Europe,France,Individual,2022-01-08,Online,0
C100001,Lucas,Martin,Latin America,Chile,Small Business,2022-02-21,Online,1
C100002,Linda,Thompson,APAC,Singapore,Individual,2023-11-21,Marketplace,1
C100003,Thomas,Thompson,Europe,Netherlands,Small Business,2022-01-03,Online,0
C100004,James,Lee,North America,Mexico,Enterprise,2022-07-13,Online,1
C100005,Susan,Jones,North America,USA,Individual,2025-07-28,B2B Direct,1
C100006,Richard,Rodriguez,North America,Mexico,Individual,2021-04-18,Online,0
C100007,Diego,Perez,Middle East,Kuwait,Individual,2022-08-07,Online,0
C100008,Richard,Jackson,APAC,Singapore,Individual,2023-04-19,B2B Direct,0
C100009,Robert,Jones,APAC,South Korea,Small Business,2022-02-22,In-Store,1
C100010,Wei,Brown,North America,Mexico,Individual,2025-07-02,Online,0
C100011,Sofia,Lee,Latin America,Chile,Individual,2023-04-01,Marketplace,0
C100012,Susan,Moore,Middle East,Qatar,Individual,2024-11-22,Online,1
C100013,Lucas,Jones,North America,Mexico,Individual,2024-07-19,Online,1
C100014,Wei,Gonzalez,North America,Canada,Small Business,2022-11-14,Marketplace,1
C100015,Layla,Sanchez,North America,USA,Individual,2024-02-14,B2B Direct,1
C100016,Barbara,Thomas,North America,Mexico,Enterprise,2026-02-08,In-Store,0
C100017,Carlos,Hernandez,Europe,Italy,Individual,2025-05-29,In-Store,1
C100018,John,Williams,Europe,Italy,Individual,2021-09-13,Online,1
C100019,David,Brown,North America,USA,Individual,2024-01-10,In-Store,0
C100020,Mary,Rodriguez,APAC,Singapore,Individual,2023-02-19,Online,1
C100021,Elena,Robinson,North America,USA,Enterprise,2024-02-26,In-Store,1
C100022,Amara,Lopez,North America,Canada,Individual,2023-04-18,In-Store,1
C100023,Amara,Gonzalez,Europe,Germany,Small Business,2023-07-04,In-Store,0
C100024,Liam,Lee,Europe,UK,Individual,2021-08-23,Online,0
C100025,Diego,Lee,APAC,South Korea,Individual,2022-07-07,Online,0
