customer_id,customer_name,region,country,customer_type,segment,customer_value,clv_historical,revenue,purchase_frequency,avg_order_value,recency_days,last_purchase,signup_date,churn_probability,predicted_churn,favorite_category,recommended_product,recommendation_score,top_purchase_channel,total_sessions,avg_csat,total_tickets,RFM_score,RFM_total,email_opt_in,churn_risk_band,value_tier
C100000,James Williams,Europe,France,Individual,Champions,1172.53,2880.0,2880.0,14.0,137.14285714285714,183.0,2026-02-12,2022-01-08,0.9574,1,Home & Kitchen,Board Game Set,0.8003,Online,16.0,2.0,1.0,411.0,6.0,0,High Risk,Platinum
C100001,Lucas Martin,Latin America,Chile,Small Business,Champions,734.34,1537.86,1537.86,9.0,128.155,64.0,2026-06-11,2022-02-21,0.0003,0,Electronics,Board Game Set,0.7668,Online,19.0,3.0,1.0,212.0,5.0,1,Low Risk,Gold
C100002,Linda Thompson,APAC,Singapore,Individual,Regular Customers,1136.04,1708.17,1708.17,4.0,284.695,158.0,2026-03-09,2023-11-21,0.3067,0,Furniture,Board Game Set,0.7691,Online,15.0,2.5,2.0,432.0,9.0,1,Low Risk,Platinum
C100003,Thomas Thompson,Europe,Netherlands,Small Business,Regular Customers,541.13,1364.95,1364.95,3.0,341.2375,536.0,2025-02-24,2022-01-03,0.9295,1,Furniture,Air Fryer,0.6667,Online,26.0,2.3524457602403785,0.0,532.0,10.0,0,High Risk,Gold
C100004,James Lee,North America,Mexico,Enterprise,New / Occasional,87.15,249.98,249.98,1.0,124.99,21.0,2026-07-24,2022-07-13,0.0182,0,Home & Kitchen,Espresso Machine,0.9249,Marketplace,2.0,3.0,1.0,155.0,11.0,1,Low Risk,Bronze
C100005,Susan Jones,North America,USA,Individual,New / Occasional,640.33,234.98,234.98,2.0,117.49,9.0,2026-08-05,2025-07-28,0.0011,0,Electronics,Kids Building Blocks,0.8813,Online,9.0,1.0,2.0,145.0,10.0,1,Low Risk,Gold
C100006,Richard Rodriguez,North America,Mexico,Individual,Champions,1037.09,3098.82,3098.82,10.0,193.67625,33.0,2026-07-12,2021-04-18,0.0034,0,Sports & Outdoors,Denim Jeans,0.6806,Online,14.0,2.3524457602403785,0.0,211.0,4.0,0,Low Risk,Platinum
C100007,Diego Perez,Middle East,Kuwait,Individual,Champions,677.26,2069.37,2069.37,6.0,159.1823076923077,4.0,2026-08-10,2022-08-07,0.0006,0,Furniture,Espresso Machine,0.7118,Online,11.0,2.3524457602403785,0.0,121.0,4.0,0,Low Risk,Gold
C100008,Richard Jackson,APAC,Singapore,Individual,Champions,1531.53,3314.34,3314.34,7.0,254.9492307692308,8.0,2026-08-06,2023-04-19,0.0297,0,Home & Kitchen,Wireless Earbuds Pro,0.6705,In-Store,5.0,1.4,5.0,111.0,3.0,0,Low Risk,Platinum
C100009,Robert Jones,APAC,South Korea,Small Business,Regular Customers,347.13,731.45,731.45,4.0,146.29000000000002,320.0,2025-09-28,2022-02-22,0.9722,1,Sports & Outdoors,Kids Building Blocks,0.8036,Online,26.0,2.0,1.0,533.0,11.0,1,High Risk,Silver
