customer_id,customer_name,region,country,customer_type,segment,customer_value,clv_historical,revenue,purchase_frequency,avg_order_value,recency_days,last_purchase,signup_date,churn_probability,predicted_churn,favorite_category,recommended_product,recommendation_score,top_purchase_channel,total_sessions,avg_csat,total_tickets,RFM_score,RFM_total,email_opt_in,churn_risk_band,value_tier
C100000,Michael White,Europe,France,Small Business,Regular Customers,77.7,120.98,120.98,2.0,60.49,411.0,2025-06-27,2022-09-27,0.9233,1,Electronics,Bluetooth Speaker,0.8487,Online,17.0,2.358172549549956,0.0,545.0,14.0,1,High Risk,Bronze
C100001,Diego Thompson,Latin America,Chile,Individual,Loyal High-Value,453.74,644.97,644.97,2.0,214.99,277.0,2025-11-08,2024-04-24,0.1962,0,Electronics,Smart Watch,0.8578,Marketplace,14.0,5.0,1.0,544.0,13.0,1,Low Risk,Silver
C100002,Ethan Ramirez,APAC,Singapore,Small Business,New / Occasional,287.49,864.98,864.98,1.0,432.49,122.0,2026-04-12,2022-04-29,0.7184,1,Electronics,Smart Watch,0.6965,Online,8.0,1.0,1.0,353.0,11.0,1,High Risk,Silver
C100003,Ava Taylor,Europe,Netherlands,Individual,Regular Customers,490.36,889.93,889.9300000000001,4.0,177.98600000000002,324.0,2025-09-22,2022-11-11,0.9729,1,Sports & Outdoors,Perfume,0.7537,Online,19.0,2.333333333333333,3.0,533.0,11.0,0,High Risk,Gold
C100004,Charles Rodriguez,North America,Mexico,Individual,Lost / Dormant,0.0,0.0,0.0,0.0,0.0,975.0,,2023-12-11,0.9942,1,,Yoga Mat,0.0066,Online,5.0,1.6666666666666667,3.0,,3.0,0,High Risk,Bronze
C100005,Ethan Taylor,North America,USA,Small Business,Regular Customers,854.41,149.99,149.99,1.0,149.99,82.0,2026-05-22,2026-03-30,0.0095,0,Home & Kitchen,Espresso Machine,0.9034,Online,14.0,2.0,1.0,355.0,13.0,1,Low Risk,Gold
C100006,Thomas Smith,North America,Mexico,Small Business,Loyal High-Value,1058.6,3292.79,3292.79,12.0,173.30473684210526,88.0,2026-05-16,2021-01-05,0.0042,0,Electronics,Office Chair,0.7542,Online,15.0,4.0,1.0,311.0,5.0,0,Low Risk,Platinum
C100007,Mia Rodriguez,Middle East,UAE,Individual,Loyal High-Value,1078.85,2500.88,2500.88,8.0,208.40666666666667,341.0,2025-09-05,2022-08-12,0.7004,1,Sports & Outdoors,Smart Watch,0.7028,Online,10.0,4.0,1.0,511.0,7.0,1,High Risk,Platinum
C100008,Elizabeth Garcia,APAC,Singapore,Individual,Regular Customers,655.78,686.95,686.95,4.0,137.39,85.0,2026-05-19,2024-03-29,0.0619,0,Furniture,Office Chair,0.7276,Online,16.0,2.0,1.0,333.0,9.0,1,Low Risk,Gold
C100009,Joseph Anderson,APAC,South Korea,Small Business,New / Occasional,37.46,79.99,79.99,1.0,79.99,664.0,2024-10-17,2021-07-27,0.9673,1,Apparel,Winter Jacket,0.8922,Online,2.0,3.0,1.0,555.0,15.0,1,High Risk,Bronze
